,PCA_PLAIN
2020-07-29,0.0006580452673477406
2020-07-30,0.006873770139367621
2020-07-31,-0.0015705791664901575
2020-08-03,0.00024709565333326
2020-08-04,0.009353928567409658
2020-08-05,0.015363762467805181
2020-08-06,-0.005098374363844161
2020-08-07,0.00082296880424512
2020-08-11,-0.00031867395715020133
2020-08-12,-0.011636093012167439
2020-08-13,0.0025743963130453002
2020-08-14,0.0027348058279914
2020-08-17,-0.00287509704178528
2020-08-18,-0.0017749391925338202
2020-08-19,-0.0029405889438435797
2020-08-20,-0.004237798678824579
2020-08-21,-0.00447997043358404
2020-08-24,-0.000817750702161139
2020-08-25,0.00281767100655934
2020-08-26,-0.0009309307006052198
2020-08-27,0.0025049370759663596
2020-08-28,0.0046219919177529194
2020-08-31,0.012074261022956799
2020-09-01,0.00275798256443966
2020-09-02,0.00563958099843164
2020-09-03,-0.0013135578463841406
2020-09-04,-0.00106538668987128
2020-09-08,0.0005293500804114598
2020-09-09,0.0008014757727384601
2020-09-10,-0.00022043986238365993
2020-09-11,-0.00232084744384524
2020-09-14,0.007100854027926499
2020-09-15,0.00139347518647222
2020-09-16,0.0037905281714582196
2020-09-17,0.0023978718293926407
2020-09-18,-0.00355037623898548
2020-09-23,0.00234832656098608
2020-09-24,0.0011997941067233002
2020-09-25,-0.0037836378177256
2020-09-28,-0.005220296962941958
2020-09-29,-0.00890087710895206
2020-09-30,0.00696190220049862
2020-10-02,-0.00412161914019224
2020-10-05,0.0025563208314837004
2020-10-06,0.0034190831711486
2020-10-07,-0.004631637923266121
2020-10-08,-0.00586748453804538
2020-10-09,-0.0019903252571014203
2020-10-12,-0.0011362023742102802
2020-10-13,-0.00198408129112242
2020-10-14,0.00168713319858832
2020-10-15,0.002260617505351
2020-10-16,-1.754758289240028e-05
2020-10-19,-0.00724354105437998
2020-10-20,-0.0011446290918866201
2020-10-21,0.00965780905434534
2020-10-22,-0.00432347485302544
2020-10-23,0.0023027709189760394
2020-10-26,-0.00362184326450106
2020-10-27,0.00364442007436854
2020-10-28,0.00616949924888092
2020-10-29,0.003484376342368419
2020-10-30,0.005231502368497081
2020-11-02,0.010503049805291001
2020-11-04,-0.00577131072848818
2020-11-05,0.0003964811890473395
2020-11-06,0.006118389929693719
2020-11-09,0.01165666825942744
2020-11-10,0.03291897885098252
2020-11-11,-0.00151852712319158
2020-11-12,0.0070461083890047405
2020-11-13,-0.0028483612620221394
2020-11-16,-0.0036486133301910405
2020-11-17,0.006306258658716219
2020-11-18,0.010530188779245999
2020-11-19,0.005818693319187441
2020-11-20,-0.0048998951554469605
2020-11-24,0.0011336518469399798
2020-11-25,-0.006501533165446801
2020-11-27,0.0070913287816102
2020-11-30,0.007337968875062759
2020-12-01,-0.006703414027114
2020-12-02,-0.006237312920877961
2020-12-03,-0.00940257924880736
2020-12-04,0.00563416009819566
2020-12-07,-0.003357716491137138
2020-12-08,0.0023169639531150804
2020-12-09,0.004111015603230079
2020-12-10,-0.00534833307282774
2020-12-11,-0.00762539067308272
2020-12-14,-0.003993283036863601
2020-12-15,-0.00023893589851155944
2020-12-16,0.004743934629705
2020-12-17,0.00831722683583964
2020-12-18,0.00271306240493782
2020-12-21,-0.0032844568231396405
2020-12-22,-0.00093481440224032
2020-12-23,0.01081646497605998
2020-12-24,-0.00137468347206066
2020-12-28,-0.00520992647530118
2020-12-29,-0.00014432537142709985
2020-12-30,-0.00443225561691972
2021-01-04,-0.0100009262190107
