year,ticker,sector,sector_name,long_days,short_days,total_days,total_return,avg_daily_pct
2025,8984,realestate,不動産,5,4,9,-0.018902000000000002,-0.21002222222222225
2026,2587,food,食品,25,26,51,-0.057573,-0.11288823529411764
2026,5020,energy,エネルギー,22,21,43,0.03750999999999999,0.08723255813953486
2026,4536,pharma,医薬品,26,27,53,-0.01124400000000001,-0.02121509433962266
2026,7282,auto,自動車,16,16,32,-0.01721799999999999,-0.05380624999999997
2026,9501,utilities,電力ガス,15,18,33,-0.062209,-0.18851212121212121
2026,8053,trading,商社卸売,28,25,53,0.06025099999999999,0.11368113207547167
2026,2780,retail,小売,15,14,29,0.033333,0.11494137931034483
2026,8354,banks,銀行,17,17,34,0.014963999999999984,0.044011764705882306
2026,8725,finance,金融,1,1,2,0.0037819999999999998,0.1891
