,MOM
2015-02-12,0.00541965064163764
2015-02-13,-0.00631611569461144
2015-02-17,0.0055867429844423016
2015-02-18,0.0009589778611683601
2015-02-19,-0.0051417500523182206
2015-02-20,-0.0021991589948303597
2015-02-23,-0.00423374337566126
2015-02-24,-0.00036039903733924017
2015-02-25,-0.01529742020964776
2015-02-26,-0.0043008471816701425
2015-02-27,-0.004570860286606219
2015-03-02,-0.00213698666747674
2015-03-03,0.005076757691086458
2015-03-04,0.0014293877012716064
2015-03-05,0.0025021773381566606
2015-03-06,0.00460935494723624
2015-03-09,-0.00168701116279812
2015-03-10,-0.0052954792598018
2015-03-11,-0.00754859650529072
2015-03-12,0.0014814769499264212
2015-03-13,-0.00993053335737372
2015-03-16,-0.0023754474685280602
2015-03-17,0.0003756497029928349
2015-03-18,0.00233769701545796
2015-03-19,-0.002804721598556638
2015-03-20,0.00216239042027844
2015-03-23,0.006794241310347659
2015-03-24,-0.001616756583033839
2015-03-25,-0.00458379790968356
2015-03-26,-0.004346906740711959
2015-03-27,0.005524599039121199
2015-03-30,0.006511961023547198
2015-03-31,-0.007548280858243381
2015-04-01,-0.007438317717072345
2015-04-02,-0.0018473608005064005
2015-04-06,0.005632718372468679
2015-04-07,-0.0073328168803844
2015-04-08,-0.0013801887848603608
2015-04-09,0.004437520194516979
2015-04-10,-0.00516517659261668
2015-04-13,-0.00842588312380624
2015-04-14,-0.00666993755584042
2015-04-15,-0.0050311829452971005
2015-04-16,-0.00833936954861014
2015-04-17,0.0034112600004474604
2015-04-20,0.008395823922253699
2015-04-21,-0.0025338352770640747
2015-04-22,0.002332690759993321
2015-04-23,-0.0011822996303228594
2015-04-24,-0.0080858108636143
2015-04-27,-0.00373321979147822
2015-04-28,-0.00503840700729224
2015-04-30,-0.008742032317429076
2015-05-01,-0.0004435423592204999
2015-05-07,-0.0027217172180650034
2015-05-08,0.012951260748704936
2015-05-11,-0.0043481217659226195
2015-05-12,0.0003964257538309401
2015-05-13,-0.004565999146406939
2015-05-14,-0.0006044486221386406
2015-05-15,0.00203087730047994
2015-05-18,0.010354329099352742
2015-05-19,-0.0063144770736200005
2015-05-20,-0.007021594817067139
2015-05-21,0.0005396481991990599
2015-05-22,-0.0021605119103653998
2015-05-26,-0.00010330372088358005
2015-05-27,-0.00887585729056222
2015-05-28,0.0013917253376253573
2015-05-29,0.0008297547993569599
2015-06-01,0.0077518456029837405
2015-06-02,-0.0032579593140504995
2015-06-03,-0.0024204983932666997
2015-06-04,0.00427488039021784
